timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,exploration_score,loss,timestamp
20500,12,8958.218042843033,44791.09021421516,0.9175,0.5468750000000001,367.0,3217.964599609375,2025-12-22T00:28:15.298168Z
20750,12,8958.218042843033,44791.09021421516,0.9425,0.4438000000000001,377.0,3217.964599609375,2025-12-22T00:28:15.960189Z
21000,13,9119.979025785007,45599.89512892504,0.3275,0.5022500000000001,131.0,3217.964599609375,2025-12-22T00:28:16.609699Z
21250,13,9119.979025785007,45599.89512892504,0.57,0.602125,228.0,3217.964599609375,2025-12-22T00:28:17.256435Z
21500,13,9119.979025785007,45599.89512892504,0.755,0.5230750000000001,302.0,3217.964599609375,2025-12-22T00:28:17.900186Z
21750,13,9119.979025785007,45599.89512892504,0.8825,0.5585500000000001,353.0,3217.964599609375,2025-12-22T00:28:18.538452Z
22000,13,9119.979025785007,45599.89512892504,0.915,0.53485,366.0,3217.964599609375,2025-12-22T00:28:19.182523Z
22250,13,9119.979025785007,45599.89512892504,0.96,0.6189250000000001,384.0,3217.964599609375,2025-12-22T00:28:19.961891Z
22500,14,9137.239978032221,45686.19989016111,0.275,0.4454750000000001,110.0,3217.964599609375,2025-12-22T00:28:20.605878Z
22750,14,9137.239978032221,45686.19989016111,0.6275,0.5272000000000001,251.0,3382.726806640625,2025-12-22T00:28:22.865025Z
23000,14,9137.239978032221,45686.19989016111,0.825,0.5814500000000001,330.0,3382.726806640625,2025-12-22T00:28:23.539058Z
23250,14,9137.239978032221,45686.19989016111,0.9075,0.5684250000000001,363.0,3382.726806640625,2025-12-22T00:28:24.181585Z
23500,14,9137.239978032221,45686.19989016111,0.9625,0.5963250000000001,385.0,3382.726806640625,2025-12-22T00:28:24.823041Z
23750,14,9137.239978032221,45686.19989016111,0.9675,0.5692250000000001,387.0,3382.726806640625,2025-12-22T00:28:25.465777Z
24000,15,9150.31020692339,45751.55103461695,0.975,0.5045750000000001,390.0,3382.726806640625,2025-12-22T00:28:26.120822Z
24250,15,9150.31020692339,45751.55103461695,0.4675,0.5124,187.0,3382.726806640625,2025-12-22T00:28:26.902289Z
24500,15,9150.31020692339,45751.55103461695,0.6325,0.6106250000000001,253.0,3382.726806640625,2025-12-22T00:28:27.543819Z
24750,15,9150.31020692339,45751.55103461695,0.6875,0.6179250000000001,275.0,3529.67236328125,2025-12-22T00:28:29.773484Z
25000,15,9150.31020692339,45751.55103461695,0.7675,0.46910000000000013,307.0,3529.67236328125,2025-12-22T00:28:30.454993Z
25250,15,9150.31020692339,45751.55103461695,0.8575,0.6008000000000002,343.0,3529.67236328125,2025-12-22T00:28:31.131142Z
25500,15,9150.31020692339,45751.55103461695,0.9025,0.48260000000000003,361.0,3529.67236328125,2025-12-22T00:28:31.787261Z
25750,16,9244.285346268944,46221.42673134472,0.305,0.5104000000000001,122.0,3529.67236328125,2025-12-22T00:28:32.442264Z
26000,16,9244.285346268944,46221.42673134472,0.625,0.4327250000000001,250.0,3529.67236328125,2025-12-22T00:28:33.230489Z
26250,16,9244.285346268944,46221.42673134472,0.785,0.5477500000000001,314.0,3529.67236328125,2025-12-22T00:28:33.892693Z
26500,16,9244.285346268944,46221.42673134472,0.845,0.5188750000000001,338.0,3529.67236328125,2025-12-22T00:28:34.537229Z
26750,16,9244.285346268944,46221.42673134472,0.905,0.566975,362.0,4071.833251953125,2025-12-22T00:28:36.793186Z
27000,16,9244.285346268944,46221.42673134472,0.9225,0.51595,369.0,4071.833251953125,2025-12-22T00:28:37.461891Z
27250,17,9328.679592110502,46643.39796055251,0.09,0.35612500000000014,36.0,4071.833251953125,2025-12-22T00:28:38.124965Z
27500,17,9328.679592110502,46643.39796055251,0.475,0.5075750000000001,190.0,4071.833251953125,2025-12-22T00:28:38.755434Z
