timestep,mean_reward,coverage_ratio,average_threat_level
62750,207705.95781332348,0.305,0.0
63000,208398.79114665664,0.305,0.0
63250,209559.03933165807,0.225,0.0
63500,210734.03933166098,0.225,0.0
63750,211909.0393316639,0.225,0.0
64000,213630.50599833147,0.225,0.0
64250,214061.60470083007,0.2325,0.0
64500,214136.60470082716,0.2325,0.0
64750,214211.60470082425,0.2325,0.0
65000,214286.60470082134,0.2325,0.0
65250,215230.74586665427,0.3425,0.0
65500,215913.76253332203,0.4625,0.0
65750,215905.42919999064,0.4625,0.0
66000,215897.09586665925,0.4625,0.0
66250,215961.27737499302,0.07,0.0
66500,216668.91070832455,0.07,0.0
66750,217523.0773749888,0.07,0.0
67000,218377.24404165303,0.07,0.0
67250,218505.3922291519,0.15,0.0
67500,218480.39222915046,0.15,0.0
67750,218455.392229149,0.15,0.0
68000,218430.39222914755,0.15,0.0
68250,219291.70757581358,0.2725,0.0
68500,219952.77424248046,0.2725,0.0
68750,220852.77424248192,0.2725,0.0
69000,221752.77424248337,0.2725,0.0
69250,222558.3851183163,0.24,0.0
69500,223267.95178498543,0.24,0.0
69750,225065.1851183182,0.24,0.0
70000,227515.18511831528,0.24,0.0
70250,227535.38327831408,0.0875,0.0
70500,227510.38327831263,0.0875,0.0
70750,227485.38327831117,0.0875,0.0
71000,227460.38327830972,0.0875,0.0
71250,228127.07586747775,0.245,0.0
71500,228393.7425341478,0.245,0.0
71750,228896.67586748363,0.245,0.0
72000,229988.34253415078,0.245,0.0
72250,230792.99070415032,0.1425,0.0
72500,231734.657370816,0.1425,0.0
72750,232676.3240374817,0.1425,0.0
73000,233617.9907041474,0.1425,0.0
73250,233932.00555831264,0.2125,0.0
73500,233882.00555830973,0.2125,0.0
73750,233832.00555830682,0.2125,0.0
74000,233782.0055583039,0.2125,0.0
74250,234527.68705663644,0.3325,0.0
74500,234602.68705663353,0.3325,0.0
74750,234844.6537232982,0.3325,0.0
75000,235744.65372329965,0.3325,0.0
75250,236058.7685749649,0.0775,0.0
75500,236929.03524163322,0.0775,0.0
75750,238390.0019083015,0.0775,0.0
76000,240708.96857496692,0.0775,0.0
76250,240898.0283024681,0.15,0.0
76500,240889.6949691367,0.15,0.0
76750,240881.3616358053,0.15,0.0
77000,240873.02830247392,0.15,0.0
77250,241126.80977080986,0.145,0.0
77500,241268.47643747993,0.145,0.0
77750,242413.9764374798,0.145,0.0
78000,244205.64310414405,0.145,0.0
78250,245381.92840164417,0.335,0.0
78500,246651.27840164423,0.335,0.0
78750,248376.27840164278,0.335,0.0
79000,250101.27840164132,0.335,0.0
79250,251278.3928299747,0.36,0.0
79500,252784.63000497464,0.6425,0.0
79750,253184.17169664262,0.645,0.0
80000,253797.56487831028,0.645,0.0
80250,254655.9851674775,0.245,0.0
80500,255555.98516747897,0.245,0.0
80750,256455.98516748042,0.245,0.0
81000,257400.8518341483,0.245,0.0
81250,258292.85379998205,0.25,0.0
