timestep,mean_reward,episode_length,coverage_ratio,average_threat_level,average_battery,elapsed_time
49750,6027.566666666678,1000,0.0725,0.0,98.99999999999523,1861.716905117035
50000,7713.399422499852,1000,0.1125,0.0,99.0006666666619,1871.097873210907
50250,8141.612559166666,1000,0.085,0.0,99.00333333332857,1880.4558274745941
50500,1678.366086666661,1000,0.065,0.0,99.0006666666619,1889.7917733192444
50750,4024.0477166667274,1000,0.04,0.0,99.00199999999523,1899.1260058879852
51000,2271.399424999995,1000,0.0725,0.0,99.0006666666619,1908.4925484657288
51250,4237.833333333319,1000,0.0675,0.0,98.99999999999523,1917.950370311737
51500,10368.164394166835,1000,0.04,0.0,99.00199999999523,1927.205803155899
51750,4050.7661108332704,1000,0.065,0.0,99.0006666666619,1936.5282618999481
52000,918.0308075000062,1000,0.055,0.0,99.00299999999523,1945.9292063713074
52250,14312.933333333463,1000,0.06,0.0,98.99999999999523,1955.3186252117157
52500,7501.066109166629,1000,0.0875,0.0,99.0006666666619,1964.6341631412506
52750,6833.064739166586,1000,0.0675,0.0,99.00233333332858,1973.9736108779907
53000,4392.381495833282,1000,0.105,0.0,99.00199999999523,1983.3487088680267
53250,1965.4327549999873,1000,0.0625,0.0,99.0006666666619,1992.7535951137543
53500,4547.298791666645,1000,0.07,0.0,99.00133333332856,2002.097858428955
53750,5031.9827575000045,1000,0.0625,0.0,99.0006666666619,2011.5426354408264
54000,3870.2166666666512,1000,0.1175,0.0,98.99999999999523,2020.9310925006866
54250,2216.066666666679,1000,0.08,0.0,98.99999999999523,2030.3358030319214
54500,11133.898833333351,1000,0.05,0.0,99.00133333332856,2039.6876628398895
54750,5947.147684999977,1000,0.0425,0.0,99.00199999999523,2049.0636110305786
55000,4446.580365833306,1000,0.115,0.0,99.00266666666191,2058.5264027118683
55250,1813.7504766666775,1000,0.0575,0.0,99.33299999999683,2067.9018778800964
55500,9252.33216333328,1000,0.05,0.0,99.00133333332856,2077.2272090911865
55750,2459.295757499975,1000,0.07,0.0,99.00533333332858,2086.584882736206
56000,1409.0988349999748,1000,0.1,0.0,99.00133333332856,2095.9048130512238
56250,13370.997718333569,1000,0.045,0.0,99.00199999999523,2105.2801694869995
56500,1216.0327683333564,1000,0.0725,0.0,99.0006666666619,2114.58282327652
56750,6438.94555666664,1000,0.0775,0.0,99.00433333332857,2123.9344596862793
57000,4305.866666666709,1000,0.09,0.0,98.99999999999523,2133.276342868805
57250,9503.482163333401,1000,0.085,0.0,99.00133333332856,2142.6483919620514
57500,4046.9327766666092,1000,0.095,0.0,99.0006666666619,2152.065706729889
57750,2567.865058333322,1000,0.13,0.0,99.00133333332856,2161.4364919662476
58000,1932.4500000000069,1000,0.1,0.0,98.99999999999523,2170.8839836120605
58250,2013.114829166673,1000,0.095,0.0,99.00199999999523,2180.0631890296936
58500,2032.2143708333017,1000,0.0425,0.0,99.00199999999523,2189.463490009308
58750,6440.3494266665575,1000,0.06,0.0,99.0006666666619,2198.836818218231
59000,4135.598174999977,1000,0.0875,0.0,99.00199999999523,2208.1779901981354
59250,874.1314116666741,1000,0.08,0.0,99.00266666666191,2217.5792710781097
59500,5135.165496666648,1000,0.0425,0.0,99.00133333332856,2226.941499233246
59750,6587.16666666667,1000,0.035,0.0,98.99999999999523,2236.308158636093
60000,11113.46488583319,1000,0.0225,0.0,99.00199999999523,2245.458637714386
60250,1533.5315183333335,1000,0.0775,0.0,99.00199999999523,2254.7807743549347
60500,3092.932016666647,1000,0.075,0.0,99.00166666666189,2264.167343854904
60750,2668.933333333371,1000,0.095,0.0,98.99999999999523,2273.5873696804047
61000,3606.847677500005,1000,0.06,0.0,99.00199999999523,2282.9459631443024
61250,1424.5655083333477,1000,0.065,0.0,99.00133333332856,2292.379865884781
61500,3221.1976275000043,1000,0.0575,0.0,99.00199999999523,2301.833262681961
61750,5484.431012500027,1000,0.09,0.0,99.00199999999523,2311.243677139282
62000,2470.1321716666744,1000,0.0925,0.0,99.00133333332856,2320.6093006134033
62250,6669.6327550000115,1000,0.045,0.0,99.0006666666619,2330.01017165184
62500,4540.466666666625,1000,0.065,0.0,98.99999999999523,2339.4294815063477
62750,1472.8481700000154,1000,0.035,0.0,99.00199999999523,2348.782817363739
63000,2770.2333333333004,1000,0.0325,0.0,98.99999999999523,2358.1391859054565
63250,4283.499430000012,1000,0.0775,0.0,99.0006666666619,2367.47557926178
63500,1243.2661099999975,1000,0.09,0.0,99.0006666666619,2376.9496371746063
63750,6448.016095000045,1000,0.06,0.0,99.0006666666619,2386.303513288498
64000,2889.8660858333333,1000,0.0575,0.0,99.0006666666619,2395.6536633968353
64250,3294.9660691667223,1000,0.0325,0.0,99.0006666666619,2405.0256731510162
64500,3826.797724166639,1000,0.055,0.0,99.00199999999523,2414.3836619853973
64750,1341.7148366666408,1000,0.095,0.0,99.00199999999523,2423.7386543750763
65000,4718.274720833296,1000,0.07,0.0,99.00466666666192,2433.1174416542053
65250,2871.166666666682,1000,0.1275,0.0,98.99999999999523,2442.552543401718
65500,6597.014824166646,1000,0.0625,0.0,99.00199999999523,2451.9581050872803
65750,915.1333333333179,1000,0.0675,0.0,98.99999999999523,2461.3613183498383
66000,5820.382171666632,1000,0.0925,0.0,99.00133333332856,2470.6649599075317
66250,6181.116092499959,1000,0.075,0.0,99.0006666666619,2480.048628091812
66500,1379.4821549999776,1000,0.0625,0.0,99.00133333332856,2489.380510568619
66750,4414.216104166619,1000,0.0925,0.0,99.0006666666619,2498.441162109375
67000,5265.933333333317,1000,0.1,0.0,98.99999999999523,2507.779972076416
67250,4924.533333333314,1000,0.045,0.0,98.99999999999523,2517.1089990139008
67500,4588.216078333413,1000,0.03,0.0,99.0006666666619,2526.4855575561523
67750,3219.814801666645,1000,0.1,0.0,99.00199999999523,2535.8457045555115
68000,5347.948836666639,1000,0.07,0.0,99.00133333332856,2545.220149755478
68250,4532.582768333275,1000,0.05,0.0,99.0006666666619,2554.592972755432
68500,2446.5471058333196,1000,0.085,0.0,99.00266666666191,2563.6843934059143
68750,1207.6969908333563,1000,0.0325,0.0,99.00266666666191,2573.0500988960266
69000,1308.0999999999754,1000,0.05,0.0,98.99999999999523,2582.45965218544
69250,2387.731307499987,1000,0.0725,0.0,99.00266666666191,2591.8497245311737
69500,8282.399999999852,1000,0.09,0.0,98.99999999999523,2601.22385764122
69750,1541.84384,1000,0.0775,0.0,99.00333333332857,2610.565280675888
70000,3591.9999999999927,1000,0.0775,0.0,98.99999999999523,2619.9417803287506
70250,4841.79817499997,1000,0.105,0.0,99.00199999999523,2629.2542729377747
70500,8356.798162500088,1000,0.045,0.0,99.00199999999523,2638.624874353409
70750,6826.481490833281,1000,0.0725,0.0,99.00199999999523,2648.000691175461
71000,1412.1481599999745,1000,0.0875,0.0,99.00199999999523,2657.4308862686157
71250,2441.2661025000166,1000,0.105,0.0,99.0006666666619,2666.826050758362
71500,4701.53151833342,1000,0.05,0.0,99.00199999999523,2676.2272741794586
71750,7677.448831666616,1000,0.085,0.0,99.00133333332856,2685.619964361191
72000,5452.732766666694,1000,0.08,0.0,99.0006666666619,2695.025727748871
72250,4291.915461666668,1000,0.0675,0.0,99.00133333332856,2704.395933866501
72500,3968.831058333308,1000,0.06,0.0,99.00199999999523,2713.8115317821503
72750,5031.23277749999,1000,0.0575,0.0,99.0006666666619,2723.219147205353
73000,5613.031040000013,1000,0.05,0.0,99.00199999999523,2732.557618379593
73250,4153.533333333318,1000,0.075,0.0,98.99999999999523,2741.953027486801
73500,4587.914918333366,1000,0.055,0.0,99.00199999999523,2751.289853334427
73750,12163.766666666734,1000,0.0525,0.0,98.99999999999523,2760.731950044632
74000,4366.2154783333335,1000,0.065,0.0,99.00133333332856,2770.12997674942
74250,2523.246240000005,1000,0.07,0.0,99.00399999999524,2779.520827770233
74500,2198.616105833328,1000,0.0775,0.0,99.0006666666619,2788.933614730835
74750,4039.6994341666336,1000,0.1,0.0,99.0006666666619,2798.2990341186523
75000,1880.232153333337,1000,0.1,0.0,99.00133333332856,2807.6955995559692
75250,1274.6999999999891,1000,0.0525,0.0,98.99999999999523,2816.9307718276978
75500,1331.7994299999746,1000,0.095,0.0,99.0006666666619,2826.3076589107513
75750,7463.350719166715,1000,0.0475,0.0,99.33366666666348,2835.6951882839203
76000,5353.148187499968,1000,0.0575,0.0,99.00199999999523,2845.087043762207
76250,1035.0,1000,0.115,0.0,98.99999999999523,2854.4795372486115
76500,4341.766666666678,1000,0.1025,0.0,98.99999999999523,2863.8699910640717
76750,6828.949433333325,1000,0.0675,0.0,99.0006666666619,2873.2225773334503
77000,3191.0276183332917,1000,0.105,0.0,99.00399999999524,2882.3655989170074
77250,1655.364846666704,1000,0.06,0.0,99.00199999999523,2891.7574944496155
77500,6210.04883166673,1000,0.0875,0.0,99.00133333332856,2901.1038439273834
77750,5488.399430833401,1000,0.06,0.0,99.0006666666619,2910.434548854828
78000,13964.682169999973,1000,0.065,0.0,99.00133333332856,2919.801860809326
78250,1507.1333333333334,1000,0.0525,0.0,98.99999999999523,2929.21555519104
78500,8023.248791666784,1000,0.05,0.0,99.00133333332856,2938.5986795425415
78750,5438.281490833353,1000,0.0675,0.0,99.00199999999523,2947.8123371601105
79000,6560.482173333262,1000,0.11,0.0,99.00133333332856,2957.191008090973
79250,2924.7666666667074,1000,0.085,0.0,98.99999999999523,2966.569680929184
