timestep,episode,reward,coverage_ratio,threat_level_avg,visited_cells
108000,27,48279.24810500146,0.1425,0.94,0
108250,28,2524.8980825000067,0.125,0.9525,0
108500,28,8755.098082499973,0.125,0.9525,0
108750,28,16642.598082499793,0.125,0.9525,0
109000,28,24530.09808249961,0.125,0.9525,0
109250,28,32417.59808249943,0.125,0.9525,0
109500,28,40305.09808250012,0.125,0.9525,0
109750,28,48192.598082500845,0.125,0.9525,0
110000,28,57442.29808250083,0.125,0.9525,0
110250,28,67804.7980825001,0.125,0.9525,0
110500,28,78895.89808249993,0.125,0.9525,0
110750,28,91733.39808250139,0.125,0.9525,0
111000,28,104570.89808250284,0.125,0.9525,0
111250,28,117533.09808250428,0.125,0.9525,0
111500,28,132845.5980825043,0.125,0.9525,0
111750,28,148158.0980825043,0.125,0.9525,0
112000,28,163470.5980825043,0.125,0.9525,0
112250,29,481.4481225000035,0.06,0.965,0
112500,29,818.9481225000092,0.06,0.965,0
112750,29,1156.4481225000036,0.06,0.965,0
113000,29,1493.9481224999809,0.06,0.965,0
113250,29,1831.4481224999581,0.06,0.965,0
113500,29,2168.9481224999354,0.06,0.965,0
113750,29,2918.2481224999156,0.06,0.965,0
114000,29,5730.748122499916,0.06,0.965,0
114250,29,9865.84812249987,0.06,0.965,0
114500,29,15153.34812249978,0.06,0.965,0
114750,29,20440.848122500036,0.06,0.965,0
115000,29,25728.3481225004,0.06,0.965,0
115250,29,31015.848122500764,0.06,0.965,0
115500,29,36303.34812250113,0.06,0.965,0
115750,29,41590.84812250149,0.06,0.965,0
116000,29,46878.348122501855,0.06,0.965,0
116250,30,3097.3981200000017,0.1925,0.94,0
116500,30,8634.898119999933,0.1925,0.94,0
116750,30,14172.398119999842,0.1925,0.94,0
117000,30,19709.898120000023,0.1925,0.94,0
117250,30,25247.398120000387,0.1925,0.94,0
117500,30,30784.89812000075,0.1925,0.94,0
117750,30,36322.39812000111,0.1925,0.94,0
118000,30,41859.898120001475,0.1925,0.94,0
118250,30,47397.39812000184,0.1925,0.94,0
118500,30,52934.8981200022,0.1925,0.94,0
118750,30,58472.39812000257,0.1925,0.94,0
119000,30,64009.89812000293,0.1925,0.94,0
119250,30,69547.39812000198,0.1925,0.94,0
119500,30,75084.89812000052,0.1925,0.94,0
119750,30,80622.39811999907,0.1925,0.94,0
120000,30,86164.89811999761,0.1925,0.94,0
120250,31,671.9981200000036,0.025,0.94,0
120500,31,1908.898120000003,0.025,0.94,0
120750,31,4971.398120000003,0.025,0.94,0
121000,31,8033.898120000003,0.025,0.94,0
121250,31,11096.398120000002,0.025,0.94,0
121500,31,14158.898120000002,0.025,0.94,0
121750,31,17221.39812,0.025,0.94,0
122000,31,20283.89812,0.025,0.94,0
122250,31,23346.39812,0.025,0.94,0
122500,31,26408.89812,0.025,0.94,0
122750,31,29471.39812,0.025,0.94,0
123000,31,32533.89812,0.025,0.94,0
123250,31,35596.39812,0.025,0.94,0
123500,31,38658.89812,0.025,0.94,0
123750,31,43291.498120000215,0.025,0.94,0
124000,31,50468.398120000806,0.025,0.94,0
124250,32,2560.6481225,0.1325,0.9525,0
124500,32,5498.1481225,0.1325,0.9525,0
124750,32,8435.648122499999,0.1325,0.9525,0
125000,32,11373.148122499999,0.1325,0.9525,0
125250,32,14310.648122499999,0.1325,0.9525,0
125500,32,17248.1481225,0.1325,0.9525,0
125750,32,20185.6481225,0.1325,0.9525,0
126000,32,23208.6481225,0.1325,0.9525,0
126250,32,28620.74812250036,0.1325,0.9525,0
126500,32,34033.24812250072,0.1325,0.9525,0
126750,32,39445.748122501085,0.1325,0.9525,0
127000,32,44858.24812250145,0.1325,0.9525,0
127250,32,50880.54812250189,0.1325,0.9525,0
127500,32,58768.048122502616,0.1325,0.9525,0
127750,32,66655.54812250334,0.1325,0.9525,0
128000,32,74543.04812250407,0.1325,0.9525,0
128250,33,3136.94812,0.2425,0.93825,0
128500,33,6199.44812,0.2425,0.94,0
128750,33,9261.94812,0.2425,0.94,0
129000,33,12324.44812,0.2425,0.94,0
129250,33,15386.94812,0.2425,0.94,0
129500,33,18449.448119999997,0.2425,0.94,0
129750,33,21511.948119999997,0.2425,0.94,0
130000,33,24574.448119999997,0.2425,0.94,0
130250,33,27636.948119999997,0.2425,0.94,0
130500,33,31665.648120000125,0.2425,0.94,0
130750,33,37203.148120000486,0.2425,0.94,0
131000,33,42740.64812000085,0.2425,0.94,0
131250,33,50600.64812000154,0.2425,0.94,0
131500,33,58613.14812000227,0.2425,0.94,0
131750,33,66625.648120003,0.2425,0.94,0
132000,33,74638.14812000372,0.2425,0.94,0
132250,34,2505.1481225,0.1325,0.9525,0
132500,34,5442.6481225,0.1325,0.9525,0
132750,34,10593.748122499923,0.1325,0.9525,0
133000,34,16982.3481224998,0.1325,0.9525,0
133250,34,24869.848122499618,0.1325,0.9525,0
133500,34,32757.348122499436,0.1325,0.9525,0
133750,34,42739.648122498984,0.1325,0.9525,0
134000,34,53102.148122498256,0.1325,0.9525,0
134250,34,63464.64812249753,0.1325,0.9525,0
134500,34,73827.1481224968,0.1325,0.9525,0
134750,34,85819.14812249743,0.1325,0.9525,0
135000,34,98656.64812249888,0.1325,0.9525,0
135250,34,111494.14812250034,0.1325,0.9525,0
135500,34,124331.64812250179,0.1325,0.9525,0
135750,34,137169.14812250325,0.1325,0.9525,0
136000,34,150006.6481225047,0.1325,0.9525,0
