timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,exploration_score,loss,timestamp
31500,19,16361.716480199993,32723.432960399987,0.7325,0.7370500000000001,293.0,16334.6962890625,2025-12-22T00:18:29.876777Z
31750,19,16361.716480199993,32723.432960399987,0.8275,0.5893,331.0,16334.6962890625,2025-12-22T00:18:30.414737Z
32000,20,16892.348416178116,33784.69683235623,0.85,0.7251000000000001,340.0,16334.6962890625,2025-12-22T00:18:30.929128Z
32250,20,16892.348416178116,33784.69683235623,0.2775,0.8518500000000002,111.0,16334.6962890625,2025-12-22T00:18:31.579031Z
32500,20,16892.348416178116,33784.69683235623,0.43,0.8355750000000001,172.0,16334.6962890625,2025-12-22T00:18:32.081690Z
32750,20,16892.348416178116,33784.69683235623,0.6025,0.76405,241.0,16334.6962890625,2025-12-22T00:18:32.586890Z
33000,20,16892.348416178116,33784.69683235623,0.6775,0.820575,271.0,16540.73046875,2025-12-22T00:18:34.285213Z
33250,20,16892.348416178116,33784.69683235623,0.795,0.8486000000000001,318.0,16540.73046875,2025-12-22T00:18:34.802646Z
33500,20,16892.348416178116,33784.69683235623,0.8375,0.7088750000000001,335.0,16540.73046875,2025-12-22T00:18:35.304812Z
33750,21,16720.148215463014,33440.29643092603,0.2,0.72835,80.0,16540.73046875,2025-12-22T00:18:35.838606Z
34000,21,16720.148215463014,33440.29643092603,0.355,0.7518250000000001,142.0,16540.73046875,2025-12-22T00:18:36.353817Z
34250,21,16720.148215463014,33440.29643092603,0.4875,0.83845,195.0,16540.73046875,2025-12-22T00:18:37.018705Z
34500,21,16720.148215463014,33440.29643092603,0.6625,0.6952000000000002,265.0,16540.73046875,2025-12-22T00:18:37.526094Z
34750,21,16720.148215463014,33440.29643092603,0.7725,0.7461000000000001,309.0,16540.73046875,2025-12-22T00:18:38.054700Z
35000,21,16720.148215463014,33440.29643092603,0.85,0.7188500000000001,340.0,15958.82421875,2025-12-22T00:18:39.765478Z
35250,22,16836.317975892314,33672.63595178463,0.0625,0.38437500000000013,25.0,15958.82421875,2025-12-22T00:18:40.274954Z
35500,22,16836.317975892314,33672.63595178463,0.23,0.82735,92.0,15958.82421875,2025-12-22T00:18:40.789875Z
35750,22,16836.317975892314,33672.63595178463,0.3875,0.8019750000000001,155.0,15958.82421875,2025-12-22T00:18:41.272278Z
36000,22,16836.317975892314,33672.63595178463,0.545,0.7736000000000002,218.0,15958.82421875,2025-12-22T00:18:41.781557Z
